cell_id,diag,capacity_ah,RUL,eol_threshold_ah,eol_diag,source_file,parse_note,fade_frac,cap_slope_k3
G1,1,4.90310335159302,10,3.922482681274417,11,Diag_1/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → Channel_3_1: max Discharge_Capacity(Ah),0.0,
G1,2,4.83806896209717,9,3.922482681274417,11,Diag_2/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → Channel_3_1: max Discharge_Capacity(Ah),0.013263923852374182,-0.06503438949584929
G1,3,4.7741117477417,8,3.922482681274417,11,Diag_3/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → Channel_3_1: max Discharge_Capacity(Ah),0.026308155182862003,-0.06449580192566076
G1,4,4.72236967086792,7,3.922482681274417,11,Diag_4/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → RawData_3_1: max Discharge_Capacity(Ah),0.03686107915028547,-0.05784964561462419
G1,5,4.705929279327393,6,3.922482681274417,11,Diag_5/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → RawData_3_1: max Discharge_Capacity(Ah),0.04021413748122726,-0.03409123420715294
G1,6,4.69975328445435,5,3.922482681274417,11,Diag_6/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → Channel_3_1: max Discharge_Capacity(Ah),0.04147374684088634,-0.011308193206785219
G1,7,4.6827921867370605,4,3.922482681274417,11,Diag_7/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → RawData_3_1: max Discharge_Capacity(Ah),0.044933004478557526,-0.011568546295165212
G1,8,4.659654140472412,3,3.922482681274417,11,Diag_8/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → RawData_3_1: max Discharge_Capacity(Ah),0.049652065980112625,-0.020049571990969083
G1,9,4.644331932067871,2,3.922482681274417,11,Diag_9/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → RawData_3_1: max Discharge_Capacity(Ah),0.0527770681075026,-0.019230127334595046
G1,10,4.62394905090332,1,3.922482681274417,11,Diag_10/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → RawData_3_1: max Discharge_Capacity(Ah),0.05693420690367512,-0.01785254478454551
G1,11,4.59979820251465,0,3.922482681274417,11,Diag_11/Capacity_test/INR21700_M50T_T23_Aging_0_05C_G1_Channel_3.xlsx,stream RawData → Channel_3_1: max Discharge_Capacity(Ah),0.06185983189194366,-0.022266864776609697
V4,1,4.868763446807861,10,3.895010757446289,11,Diag_1/Capacity_test/INR21700_M50T_T23_Aging_0_05C_V4_Channel_5.xlsx,stream RawData → RawData_5_1: max Discharge_Capacity(Ah),0.0,
V4,2,4.82780933380127,9,3.895010757446289,11,Diag_2/Capacity_test/INR21700_M50T_T23_Aging_0_05C_V4_Channel_1.xlsx,stream RawData → Channel_1_1: max Discharge_Capacity(Ah),0.00841160460022794,-0.040954113006589334
V4,3,4.79154348373413,8,3.895010757446289,11,Diag_3/Capacity_test/INR21700_M50T_T23_Aging_0_05C_V4_Channel_1.xlsx,stream RawData → Channel_1_1: max Discharge_Capacity(Ah),0.01586028237300363,-0.03860998153686628
V4,4,4.756007671356201,7,3.895010757446289,11,Diag_4/Capacity_test/INR21700_M50T_T23_Aging_0_05C_V4_Channel_1.xlsx,stream RawData → RawData_1_1: max Discharge_Capacity(Ah),0.023159017003709037,-0.035900831222533694
V4,5,4.718296051025391,6,3.895010757446289,11,Diag_5/Capacity_test/INR21700_M50T_T23_Aging_0_05C_V4_Channel_1.xlsx,stream RawData → RawData_1_1: max Discharge_Capacity(Ah),0.030904642919368452,-0.03662371635436941
